,ds,y,ma4,var4,momentum0,rsi,MACD,upper_band,ema,diff4,lower_band,momentum1,kalman
338,1999-07-14,2149.51,2138.89,17.3557079948191,-0.6499999999996362,81.14995665992494,22.69060567281804,2162.9549603132486,2147.817022150561,6.8449999999998,1962.3888858405976,7.0,2131.495161911324
339,1999-07-22,2086.49,2132.1675,30.647967170239365,-63.02000000000044,57.92159795855509,19.094669129701742,2162.267616800561,2106.9323407168536,-6.722499999999855,1971.360075507132,-63.67000000000007,2095.291937968356
340,1999-07-29,2057.22,2110.8450000000003,46.58131993265077,-29.269999999999985,50.80734089476999,13.724808087320524,2158.751309853248,2073.790780238951,-21.322499999999764,1980.0171516852145,-92.29000000000042,2072.270313083476
341,1999-08-04,2057.43,2087.6625,43.46353979679816,0.2100000000000363,39.51675382529535,9.37799606736553,2154.0818435764613,2062.8835934129834,-23.182500000000346,1990.0343102696925,-29.059999999999945,2071.787723747166
342,1999-08-12,2090.42,2072.89,18.04458736947,32.99000000000024,43.30004539264642,8.497183276034775,2151.1689743057523,2081.241197804328,-14.772500000000036,2001.010256463479,33.20000000000027,2092.8069625880544
343,1999-08-18,2127.57,2083.16,33.46576459609376,37.15000000000009,56.58540750544343,10.673786550336445,2156.382685914278,2112.127065934776,10.269999999999982,2005.9580833164912,70.14000000000033,2117.400866907784
344,1999-08-26,2142.2,2104.405,38.15455455557826,14.629999999999654,54.490937569926096,13.424529439885193,2163.507010579801,2132.175688644925,21.24499999999989,2007.0006817278916,51.77999999999975,2126.7656892149103
345,1999-09-02,2094.38,2113.6425,25.297130766181912,-47.81999999999971,46.3812280969069,11.611982935231026,2161.7394154212698,2106.978562881642,9.237500000000182,2011.2751999633456,-33.190000000000055,2113.0164090097937
346,1999-09-09,2126.41,2122.64,20.163820735863016,32.029999999999745,46.9670710571923,12.614666067650433,2162.1973358406244,2119.9328542938806,8.997499999999945,2017.9111256978367,-15.789999999999964,2127.176626955292
347,1999-09-16,2156.27,2129.815,26.586265251091323,29.860000000000127,51.06212842888436,15.63848144413123,2167.5573850099786,2144.1576180979605,7.175000000000182,2022.4779996054065,61.88999999999987,2142.484929468997
